message_text,cleaned_message_text,unigram_bigram_ready_text,annotation_count,risk_categories_present,suspicious_phrases_json,label,label_name,scam_subtype,source_name,source_url,data_origin_type,is_synthetic,split,message_length_characters,message_length_words,cleaned_token_count,digit_count,exclamation_mark_count,contains_url_like_text,contains_phone_number_like_text
"Sorry my roommates took forever, it ok if I come by now?",sorry my roommates took forever it ok if i come by now,sorry my roommates took forever it ok if i come by now sorry_my my_roommates roommates_took took_forever forever_it it_ok ok_if if_i i_come come_by by_now,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,56,12,12,0,0,0,0
Haha i think i did too,haha i think i did too,haha i think i did too haha_i i_think think_i i_did did_too,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,22,6,6,0,0,0,0
"Arms fine, how's Cardiff and uni?",arms fine how's cardiff and uni,arms fine how's cardiff and uni arms_fine fine_how's how's_cardiff cardiff_and and_uni,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,33,6,6,0,0,0,0
Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx,ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly love me xxx,ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly love me xxx ok_im im_not not_sure sure_what what_time time_i i_finish finish_tomorrow tomorrow_but but_i i_wanna wanna_spend spend_the the_evening evening_with with_you you_cos cos_that that_would would_be be_vewy vewy_vewy vewy_lubly lubly_love love_me me_xxx,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,128,27,27,0,1,0,0
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,i lost 4 pounds since my doc visit last week woot woot now i'm gonna celebrate by stuffing my face,i lost 4 pounds since my doc visit last week woot woot now i'm gonna celebrate by stuffing my face i_lost lost_4 4_pounds pounds_since since_my my_doc doc_visit visit_last last_week week_woot woot_woot woot_now now_i'm i'm_gonna gonna_celebrate celebrate_by by_stuffing stuffing_my my_face,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,100,20,20,1,2,0,0
"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo",you have been specially selected to receive a 3000 award call phone_token before the lines close cost 10ppm 16 t cs apply ag promo,you have been specially selected to receive a 3000 award call phone_token before the lines close cost 10ppm 16 t cs apply ag promo you_have have_been been_specially specially_selected selected_to to_receive receive_a a_3000 3000_award award_call call_phone_token phone_token_before before_the the_lines lines_close close_cost cost_10ppm 10ppm_16 16_t t_cs cs_apply apply_ag ag_promo,0,,[],1,scam,general_scam,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,137,23,24,19,1,0,1
Hey mr whats the name of that bill brison book the one about language and words,hey mr whats the name of that bill brison book the one about language and words,hey mr whats the name of that bill brison book the one about language and words hey_mr mr_whats whats_the the_name name_of of_that that_bill bill_brison brison_book book_the the_one one_about about_language language_and and_words,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,79,16,16,0,0,0,0
Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,can you call me plz your number shows out of coveragd area i have urgnt call in vasai amp have to reach before 4'o clock so call me plz,can you call me plz your number shows out of coveragd area i have urgnt call in vasai amp have to reach before 4'o clock so call me plz can_you you_call call_me me_plz plz_your your_number number_shows shows_out out_of of_coveragd coveragd_area area_i i_have have_urgnt urgnt_call call_in in_vasai vasai_amp amp_have have_to to_reach reach_before before_4'o 4'o_clock clock_so so_call call_me me_plz,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,139,29,29,1,0,0,0
WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm,win urgent your mobile number has been awarded with a 2000 prize guaranteed call phone_token from land line claim 3030 valid 12hrs only 150ppm,win urgent your mobile number has been awarded with a 2000 prize guaranteed call phone_token from land line claim 3030 valid 12hrs only 150ppm win_urgent urgent_your your_mobile mobile_number number_has has_been been_awarded awarded_with with_a a_2000 2000_prize prize_guaranteed guaranteed_call call_phone_token phone_token_from from_land land_line line_claim claim_3030 3030_valid valid_12hrs 12hrs_only only_150ppm,1,urgency,"[{""phrase_text"": ""URGENT"", ""start_index"": 4, ""end_index"": 10, ""risk_category"": ""urgency"", ""risk_explanation"": ""This phrase creates pressure to act quickly.""}]",1,scam,prize_scam,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,145,24,24,24,1,0,1
Have you laid your airtel line to rest?,have you laid your airtel line to rest,have you laid your airtel line to rest have_you you_laid laid_your your_airtel airtel_line line_to to_rest,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,39,8,8,0,0,0,0
Today my system sh get ready.all is well and i am also in the deep well,today my system sh get ready all is well and i am also in the deep well,today my system sh get ready all is well and i am also in the deep well today_my my_system system_sh sh_get get_ready ready_all all_is is_well well_and and_i i_am am_also also_in in_the the_deep deep_well,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,71,16,17,0,0,0,0
Dear :-/ why you mood off. I cant drive so i brother to drive,dear why you mood off i cant drive so i brother to drive,dear why you mood off i cant drive so i brother to drive dear_why why_you you_mood mood_off off_i i_cant cant_drive drive_so so_i i_brother brother_to to_drive,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,61,14,13,0,0,0,0
Why do you ask princess?,why do you ask princess,why do you ask princess why_do do_you you_ask ask_princess,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,24,5,5,0,0,0,0
"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",ditto and you won't have to worry about me saying anything to you anymore like i said last night you do whatever you want and i'll do the same peace,ditto and you won't have to worry about me saying anything to you anymore like i said last night you do whatever you want and i'll do the same peace ditto_and and_you you_won't won't_have have_to to_worry worry_about about_me me_saying saying_anything anything_to to_you you_anymore anymore_like like_i i_said said_last last_night night_you you_do do_whatever whatever_you you_want want_and and_i'll i'll_do do_the the_same same_peace,1,prize_scam,"[{""phrase_text"": ""you won"", ""start_index"": 11, ""end_index"": 18, ""risk_category"": ""prize_scam"", ""risk_explanation"": ""This promises a reward or prize.""}]",0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,153,30,30,0,0,0,0
"I'll text carlos and let you know, hang on",i'll text carlos and let you know hang on,i'll text carlos and let you know hang on i'll_text text_carlos carlos_and and_let let_you you_know know_hang hang_on,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,42,9,9,0,0,0,0
Doing my masters. When will you buy a bb cos i have for sale and how's bf,doing my masters when will you buy a bb cos i have for sale and how's bf,doing my masters when will you buy a bb cos i have for sale and how's bf doing_my my_masters masters_when when_will will_you you_buy buy_a a_bb bb_cos cos_i i_have have_for for_sale sale_and and_how's how's_bf,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,73,17,17,0,0,0,0
"""Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx""",si como no listened2the plaid album quite gd the new air1 which is hilarious also bought braindance a comp ofstuff on aphex s abel u hav2hear it c u sn xxxx,si como no listened2the plaid album quite gd the new air1 which is hilarious also bought braindance a comp ofstuff on aphex s abel u hav2hear it c u sn xxxx si_como como_no no_listened2the listened2the_plaid plaid_album album_quite quite_gd gd_the the_new new_air1 air1_which which_is is_hilarious hilarious_also also_bought bought_braindance braindance_a a_comp comp_ofstuff ofstuff_on on_aphex aphex_s s_abel abel_u u_hav2hear hav2hear_it it_c c_u u_sn sn_xxxx,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,160,20,31,3,2,0,0
Now project pa. After that only i can come.,now project pa after that only i can come,now project pa after that only i can come now_project project_pa pa_after after_that that_only only_i i_can can_come,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,43,9,9,0,0,0,0
